"Código","Nombre oficial","Autor"
"14.04.03","Pinguiculo grandiflorae-Caricetum lepidocarpae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"14.04.04","Primulo farinosae-Caricetum lepidocarpae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas ex Loidi, F. Prieto, Bueno & Herrera in Herrera 1995"
"14.04.05","Swertio perennis-Caricetum nigrae","Vigo 1984"
"14.04.06","Tofieldio calyculatae-Caricetum pulicaris","Rivas-Martínez, Costa & P. Soriano 2002"
"14.04.07","Tofieldio calyculatae-Trichophoretum caespitosi","Ballesteros, Baulies, Canalís & Sebastià ex Rivas-Martínez & Costa 1998"
"14.05","Caricion juncifoliae","Br.-Bl. in Volk 1940"
"14.05.01","Caricetum bicoloris","Benito 2001 (in press.)"
"14.05.02","Equiseto variegati-Salicetum hastatellae","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"15","Utricularietea intermedio-minoris",""
"15.01","Sphagno-Utricularion","Müller & Görs 1960"
"15.01.01","Sphagno-Utricularietum minoris","Fijalkowski 1960"
"15.01.02","Utriculario exoletae-Sphagnetum auriculati","Neto, Capelo, J.C. Costa & Lousã 1996"
"16","Ammophiletea","Br.-Bl. & Tüxen ex Westhoff, Dijk & Passchier 1946"
"16.01","Ammophilion australis","Br.-Bl. 1921 corr. Rivas-Martínez, Costa & Izco in Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"16.01.01","Loto cretici-Ammophiletum australis","Rivas-Martínez 1965"
"16.01.02","Medicagini marinae-Ammophiletum australis","Br.-Bl. 1921 corr. F. Prieto & T.E. Díaz 1991"
"16.01.03","Otantho maritimi-Ammophiletum australis","Géhu & Tüxen 1975 corr. Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"16.02","Agropyro-Minuartion peploidis","Tüxen in Br.-Bl. & Tüxen 1952"
"16.02.01","Euphorbio paraliae-Agropyretum junceiformis","Tüxen in Br.-Bl. & Tüxen 1952 corr. Darimont, Duvigneaud & Lambinon 1962"
"16.02.02","Cypero mucronati-Agropyretum juncei","Kühnholtz ex Br.-Bl. 1933"
"16.03","Sporobolion arenarii","(Géhu & Géhu-Franck ex Géhu & Biondi 1994) Rivas-Martínez & Cantó 2002"
"16.03.01","Eryngio maritimi-Sporoboletum arenarii","(Arènes ex Géhu & Biondi 1994) Rivas-Martínez & Cantó 2002"
"16.03.02","Sporoboletum arenarii","Rothmaler 1943"
"16.04","Crucianellion maritimae","Rivas Goday & Rivas-Martínez 1958"
"16.04.01","Crucianelletum maritimae","Br.-Bl. 1933"
"16.04.02","Loto cretici-Crucianelletum maritimae","Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989"
"16.04.03","Ononido crispae-Scrophularietum minoricensis","O. Bolòs, Molinier & P. Montserrat 1970"
"16.05","Euphorbio portlandicae-Helichrysion maritimae","Géhu & Tüxen ex Sissingh 1974"
"16.05.01","Helichryso stoechadis-Koelerietum arenariae","Loriente 1974"
"16.05.02","Festuco arenariae-Crucianelletum maritimae","F. Alvarez 1972"
"16.06","Helichrysion picardii","(Rivas-Martínez, Costa & Izco in Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990) Rivas-Martínez, Fernández-González & Loidi 1999"
"16.06.01","Armerio welwitschii-Crucianelletum maritimae","Br.-Bl., Rozeira & P. Silva in Br.-Bl., G. Br.-Bl., Rozeira & P. Silva 1972"
"16.06.02","Artemisio crithmifoliae-Armerietum pungentis","Rivas Goday & Rivas-Martínez 1958"
"16.06.03","Iberidetum procumbentis","Bellot 1968"
"17","Cakiletea maritimae","Tüxen & Preising ex Br.-Bl. & Tüxen 1952"
"17.01","Atriplicion littoralis","Nordhagen 1940"
"17.01.01","Atriplici hastatae-Betetum maritimae","Géhu & Géhu-Franck 1969"
"17.01.02","Beto maritimae-Atriplicetum littoralis","Géhu 1976"
"17.01.03","Atriplici-Cakiletum integrifoliae","R. Alvarez 1972"
"17.02","Cakilion maritimae","Pignatti 1953"
"17.02.01","Atriplicetum hastato-tornabeni","O. Bolòs 1962"
"17.02.02","Cakiletum edentulae","Lüpnitz 1976"
"17.02.03","Hypochoerido radicatae-Glaucietum flavi","Rivas Goday & Rivas-Martínez 1958"
"17.02.04","Salsolo kali-Cakiletum aegyptiacae","Costa & Mansanet 1981"
"18","Honckenyo-Elymetea arenarii","Tüxen 1966 (*)"
"19","Crithmo-Staticetea","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"19.01","Crithmo-Staticion","Molinier 1934"
"19.01.01","Armerietum ruscinonensis","Br.-Bl. ex Rioux, Roux & Pignatti 1955"
"19.01.02","Crithmo-Helichrysetum decumbentis","Rigual 1972"
"19.01.03","Crithmo-Limonietum balearici","Gil & Llorens 1995"
"19.01.04","Crithmo-Limonietum dufourii","Costa 1982"
"19.01.05","Crithmo-Limonietum gibertii","O. Bolòs 1967"
"19.01.06","Crithmo-Limonietum girardiani","Costa 1982"
"19.01.07","Crithmo-Limonietum malacitani","Díez-Garretas 1977 corr. Díez-Garretas 1981"
"19.01.08","Dauco commutati-Sonchetum dianii","O. Bolòs, Folch & Vigo in O. Bolòs 1989"
"19.01.09","Dauco commutati-Limonietum biflori","Gil & Llorens 1995"
"19.01.10","Dauco commutati-Limonietum marisoli","Gil & Llorens 1995"
"19.01.11","Dauco hispanici-Crithmetum maritimi","O. Bolòs & Vigo 1984"
"19.01.12","Limonietum caprariensis","O. Bolòs & Molinier 1958 em. Gil & Llorens 1995"
"19.01.13","Limonietum ebusitani","Rivas-Martínez, Costa & Loidi 1992"
"19.01.14","Limonietum majorico-gymnesici","Gil & Llorens 1995"
"19.01.15","Limonietum pseudodictyoclado-carregadorensis","Gil & Llorens 1995"
"19.01.16","Limonio cossoniani-Lycietum intricati","Esteve 1973 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"19.01.17","Reichardio-Crithmetum maritimi","O. Bolòs 1962"
"19.01.18","Thymelaeo hirsutae-Asteriscetum maritimi","O. Bolòs & Molinier 1984"
"19.01.19","Thymelaeo hirsutae-Plantaginetum subulatae","Rioux, Roux & Pignatti 1955"
"19.02","Launaeion cervicornis","(O. Bolòs & Vigo ex Gil & Llorens 1995) Rivas-Martínez, Fernández-González & Loidi 1999"
"19.02.01","Dactylo hispanicae-Anthemidetum maritimae","Llorens, Llop & Gil 2002"
"19.02.02","Helichryso microphylli-Dorycnietum fulgurantis","Gil & Llorens 1995"
"19.02.03","Launaeetum cervicornis","O. Bolòs & Molinier 1958"
"19.02.04","Santolino magonicae-Anthyllidetum hystricis","(O. Bolòs, Molinier & P. Montserrat 1970) Gil & Llorens 1995"
"19.03","Crithmo-Daucion halophili","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"19.03.01","Crithmo-Limonietum lanceolati","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"19.03.02","Dactylido marinae-Limonietum plurisquamati","J.C. Costa, Capelo & Lousã in J.C. Costa, Capelo, Lousã & Espírito-Santo 1998"
"19.03.03","Diantho cintrani-Daucetum halophili","J.C. Costa, Capelo & Lousã in J.C. Costa, Capelo, Lousã & Espírito-Santo 1998"
"19.03.04","Leontodonto tingitani-Reichardietum picroidis","Deil 1994"
"19.03.05","Limonietum emarginati","Asensi 1984"
"19.03.06","Limonietum multifloro-virgati","J.C. Costa & Capelo in J.C. Costa, Capelo, Lousã & Espírito-Santo 1998"
"19.04","Frankenio-Astydamion latifoliae","Santos 1976"
"19.04.01","Frankenio ericifoliae-Zygophylletum fontanesii","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 corr. Santos 2002"
"19.04.02","Frankenio ericifoliae-Astydamietum latifoliae","Lohmeyer & Trautmann ex Santos 1976"
"19.05","Astragalion tragacanthae","(Folch ex Rivas-Martínez, Fernández-González & Loidi 1999) Rivas-Martínez, Fernández-González & Loidi 2002"
"19.05.01","Astragalo massilienis-Cistetum repentis","Franquesa 1995"
"19.05.02","Astragalo massiliensis-Senecionetum cinerariae","O. Bolòs & Vigo 1984"
"19.05.03","Dauco halophili-Astragaletum tragacanthae","(Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990) Rivas-Martínez, T.E. Díaz, Fernández-González & Loidi 2002"
"19.06","Helichrysion obconico-devium","Rivas-Martínez, Capelo, J.C. Costa, Lousã, Fontinha, Jardim & Sequeira 2002"
"19.06.01","Crithmo-Helichrysetum obconicae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"20","Juncetea maritimi","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"20.01","Juncion maritimi","Br.-Bl. ex Horvatic 1934"
"20.01.01","Caricetum divisae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"20.01.02","Elymo elongati-Juncetum maritimi","Alcaraz, Garre, Peinado & Martínez-Parras 1986"
"20.01.03","Juncetum maritimo-subulati","Alcaraz 1984 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"20.01.04","Junco gerardii-Triglochinetum maritimae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"20.01.05","Polygono equisetiformis-Juncetum maritimi","J.C. Costa in J.C. Costa, Lousã & Espírito-Santo 1997"
"20.01.06","Spartino-Juncetum maritimi","O. Bolòs 1962"
"20.01.07","Aeluropodo littoralis-Juncetum subulati","Cirujano 1981"
"20.01.08","Caro foetidi-Juncetum maritimi","Esteve & Varo 1975"
"20.01.09","Centaureo dracunculifoliae-Dorycnietum gracilis","Esteve & Varo 1975"
"20.01.10","Elymo curvifolii-Iridetum spuriae","(Rivas-Martínez in Rivas-Martínez & Costa 1976) Cirujano 1981"
"20.01.11","Elymo curvifolii-Juncetum maritimi","Rivas-Martínez 1984"
"20.01.12","Inulo crithmoidis-Juncetum subulati","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"20.01.13","Soncho crassifolii-Juncetum maritimi","Br.-Bl. & O. Bolòs 1958"
"20.01.14","Schoeno nigricantis-Plantaginetum maritimae","Rivas-Martínez 1984"
"20.02","Plantaginion crassifoliae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"20.02.01","Artemisio gallicae-Juncetum acuti","Boira 1992"
"20.02.02","Schoeno nigricantis-Plantaginetum crassifoliae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"20.03","Puccinellion caespitosae","Rivas-Martínez in Rivas-Martínez & Costa 1976"
"20.03.01","Artemisio gargantae-Puccinellietum pungentis","Barrera & Cirujano 1986"
"20.03.02","Bupleuro tenuissimi-Juncetum gerardii","Rivas-Martínez in Rivas-Martínez & Costa 1976"
"20.03.03","Plantagini maritimae-Camphorosmetum monspeliacae","Ladero, Navarro, C. Valle, Marcos, Ruiz & M.T. Santos 1984"
"20.03.04","Puccinellietum caespitosae","Rivas Goday 1955"
"20.03.05","Puccinellio caespitosae-Artemisietum gargantae","Cirujano 1981"
"20.04","Glauco maritimae-Juncion maritimi","Géhu & Géhu-Franck 1984"
"20.04.01","Agrostio stoloniferae-Juncetum maritimi","Izco, P. Guitián & J.M. Sánchez 1993"
"20.04.02","Junco maritimi-Caricetum extensae","Géhu 1976"
"20.04.03","Junco maritimi-Phragmitetum australis","Izco & J.M. Sánchez 1997"
"20.04.04","Puccinellio maritimae-Juncetum maritimi","Bueno & F. Prieto in Bueno 1997"
"20.05","Limonio ovalifolii-Frankenion laevis","Arbesú, Bueno & F. Prieto 2002"
"20.05.01","Armerio depilatae-Frankenietum laevis","Bueno & F. Prieto in Bueno 1997"
"20.05.02","Crithmo maritimi-Frankenietum laevis","Arbesú, Bueno & F. Prieto 2002"
"20.05.03","Limonio binervosi-Frankenietum laevis","Izco & J.M. Sánchez 1996"
"20.05.04","Limonio ovalifolii-Frankenietum laevis","Herrera 1995"
"20.06","Crithmo-Armerion maritimae","Géhu 1968"
"20.06.01","Armerio depilatae-Limonietum ovalifolii","F. Prieto & Loidi 1984"
"20.06.02","Armerio miscellae-Festucetum littoralis","Rivas-Martínez 1978"
"20.06.03","Crithmo maritimi-Armerietum pubigerae","Rivas-Martínez 1978"
"20.06.04","Crithmo maritimi-Limonietum binervosi","Pavillard ex A. Velasco 1983"
"20.06.05","Crithmo maritimi-Plantaginetum maritimae","Guinea 1949"
"20.06.06","Dauco gummiferi-Festucetum pruinosae","Rivas-Martínez 1978"
"20.06.07","Festuco pruinosae-Armerietum euscadiensis","Rivas-Martínez & C. Navarro in C. Navarro 1982"
"20.06.08","Festuco pruinosae-Brachypodietum rupestris","Arbesú, Bueno & F. Prieto 2002"
"20.06.09","Leucanthemo crassifolii-Festucetum pruinosae","Géhu & Géhu-Franck 1980 corr. F. Prieto & Loidi 1984"
"20.06.10","Leucanthemo crassifolii-Helichrysetum stoechadis","Allorge & Jovet in Géhu & Géhu-Franck 1980"
"20.06.11","Plantagini maritimae-Schoenetum nigricantis","Loriente 1984"
"20.06.12","Spergulario rupicolae-Armerietum berlengensis","Capelo, J.C. Costa & Lousã in J.C. Costa, Capelo, Lousã & Espírito-Santo 1998"
"20.06.13","Spergulario rupicolae-Armerietum depilatae","F. Prieto & Loidi 1984"
"20.07","Euphorbio azoricae-Festucion petraeae","Lüpnitz 1976"
"20.07.01","Campanuletum vidalii","Lüpnitz 1976"
"20.07.02","Festucetum petraeae","Lüpnitz 1976"
"20.07.03","Spergularietum azoricae","Lüpnitz 1976"
"21","Puccinellio-Salicornietea","Topa 1939 (*)"
"22","Saginetea maritimae","Westhoff, Van Leeuwen & Adriani 1962"
"22.01","Saginion maritimae","Westhoff, Van Leeuwen & Adriani 1962"
"22.01.01","Sagino maritimae-Catapodietum marinae","Tüxen in Tüxen & Westhoff 1963"
"22.01.02","Sagino maritimae-Cochlearietum danicae","Tüxen & Gillner in Tüxen & Bockelmann 1957"
"22.02","Frankenion pulverulentae","Rivas-Martínez ex Castroviejo & Porta 1976"
"22.02.01","Bupleuro semicompositi-Filaginetum mareoticae","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"22.02.02","Catapodio spicati-Saginetum maritimae","(O. Bolòs & Vigo 1984) Rivas-Martínez 2002"
"22.02.03","Catapodio marini-Frankenietum pulverulentae","(Rivas-Martínez, Costa & Loidi 1992) 2002"
"22.02.04","Junco minutuli-Parapholidetum filiformis","Perdigó & Papió 1985"
"22.02.05","Parapholido incurvae-Catapodietum marini","Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"22.02.06","Parapholido incurvae-Frankenietum pulverulentae","Rivas-Martínez ex Castroviejo & Porta 1976"
"22.02.07","Sagino maritimae-Bellidetum bellidioidis","Rivas-Martínez, Costa & Loidi 1992"
"22.02.08","Spergularietum marinae","Molinier & Tallon 1969"
"22.02.09","Triplachno nitentis-Desmazerietum marinae","O. Bolòs, Folch & Vigo in O. Bolòs 1989"
"22.03","Hordeion marini","Ladero, F. Navarro, C. Valle, Marcos, Ruiz & M.T. Santos 1984"
"22.03.01","Hainardio cylindricae-Lophochloetum hispidae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"22.03.02","Hordeo marini-Betetum maritimae","Curcó 2000"
"22.03.03","Plantagini coronopodi-Hordeetum marini","O. Bolòs & Molinier ex O. Bolòs 1962"
"22.03.04","Polypogono maritimi-Hordeetum marini","Cirujano 1981"
"22.03.05","Polypogono maritimi-Teucrietum campanulati","Ríos & Alcaraz in Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998"
"23","Salicornietea fruticosae","Br.-Bl. & Tüxen ex A. & O. Bolòs 1950"
"23.01","Salicornion fruticosae","Br.-Bl. 1933"
"23.01.01","Arthrocnemo fruticosi-Suaedetum vermiculatae","Esteve 1968"
"23.01.02","Cistancho phelypaeae-Arthrocnemetum fruticosi","Géhu ex Géhu & Géhu-Franck 1977"
"23.01.03","Puccinellio maritimae-Salicornietum fruticosae","Géhu 1976"
"23.01.04","Statico bellidifoliae-Salicornietum fruticosae","Br.-Bl. 1933"
"23.01.05","Obionetum portulacoidis","Kuhnholtz-Lordat 1926"
"23.01.06","Puccinellio ibericae-Sarcocornietum perennis","J.C. Costa in J.C. Costa, Lousã & Espírito-Santo 1997"
"23.01.07","Puccinellio maritimae-Arthrocnemetum perennis","Géhu 1976"
"23.01.08","Sarcocornietum perennis","F. Galván & Santos 1984"
"23.01.09","Sarcocornio perennis-Limonietum vulgaris","Bueno & F. Prieto in Bueno 1997"
"23.02","Arthrocnemion glauci","Rivas-Martínez & Costa 1984"
"23.02.01","Frankenio corymbosae-Arthrocnemetum macrostachyi","Rivas-Martínez, Alcaraz, Belmonte, Cantó & Sánchez-Mata 1984"
"23.02.02","Frankenio corymbosae-Halocnemetum strobilacei","Rivas-Martínez, Alcaraz, Belmonte, Cantó & Sánchez-Mata 1984"
"23.02.03","Inulo crithmoidis-Arthrocnemetum macrostachyi","Fontes ex Géhu & Géhu-Franck 1977"
"23.02.04","Sphenopo divaricati-Arthrocnemetum glauci","Br.-Bl. 1933"
"23.02.05","Zygophyllo fontanesii-Arthrocnemetum macrostachyi","F. Galván & Santos 1984"
"23.02.06","Halimiono portulacoidis-Sarcocornietum alpini","Rivas-Martínez & Costa 1984"
"23.02.07","Sarcocornietum alpini","Br.-Bl. 1933 corr. Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990"
"23.03","Suaedion braun-blanquetii","Br.-Bl. & O. Bolòs 1958 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"23.03.01","Limonio ruizii-Sarcocornietum alpini","Rivas-Martínez, Cantó & Sánchez-Mata 2002"
"23.03.02","Puccinellio caespitosae-Sarcocornietum alpini","Castroviejo & Cirujano 1980"
"23.03.03","Puccinellio caespitosae-Arthrocnemetum macrostachyi","Castroviejo & Cirujano 1980"
"23.03.04","Puccinellio caespitosae-Suaedetum braun-blanquetii","Rivas-Martínez & Costa 1984"
"23.03.05","Suaedetum braun-blanquetii","Br.-Bl. in Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936 corr. O. Bolòs 1997"
"23.03.06","Suaedo braun-blanquetii-Arthrocnemetum macrostachyi","(Br.-Bl. & O. Bolòs 1958) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"23.04","Suaedion verae","(Rivas-Martínez, Lousã, T.E. Díaz, Fernández-González & J.C. Costa 1990) Rivas-Martínez, Fernández-González & Loidi 1999"
"23.04.01","Agropyro pychnanthi-Suaedetum verae","(Arènes 1933) Géhu 1976 corr. Bueno 1997"
"23.04.02","Atriplici glaucae-Suaedetum verae","O. Bolòs (1967) 1989"
"23.04.03","Cistancho phelypaeae-Suadetum verae","Géhu & Géhu-Franck 1977"
"23.04.04","Lavatero davaei-Suaedetum verae","O. Bolòs, Folch & Vigo in O. Bolòs 1989"
"23.04.05","Scrophulario sublyratae-Suaedetum verae","J.C. Costa, Capelo & Lousã 1997"
"23.04.06","Suaedetum fruticosae","Br.-Bl. ex O. Bolòs & Molinier 1958"
"23.04.07","Zygophyllo fontanesii-Suaedetum verae","Reyes, Rivas-Martínez & Wildpret 2002"
"23.05","Limonion confusi","(Br.-Bl. 1933) Rivas-Martínez & Costa 1984"
"23.05.01","Artemisio gallicae-Staticetum virgatae","Br.-Bl. 1933"
"23.05.02","Frankenio marcosii-Limonietum ferulacei","Llorens & Gil in Gil, Tébar & Llorens 1998"
"23.05.03","Frankenio pulverulentae-Limonietum grosii","Llorens 1986"
"23.05.04","Inulo crithmoidis-Limonietum virgati","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998"
"23.05.05","Limonietum antoni-llorensii-migjornensis","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998"
"23.05.06","Limonietum ferulacei","Rothmaler 1943"
"23.05.07","Limonietum magallufiano-boirae","Llorens, Gil & Tébar in Gil, Tébar & Llorens 1998"
"23.05.08","Limonietum retuso-formenterae","Llorens 1986"
"23.05.09","Zygophyllo albi-Limonietum latebracteati","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"23.06","Limoniastrion monopetali","Pignatti 1953"
"23.06.01","Limonio densissimi-Limoniastretum monopetali","Pignatti 1953"
"23.06.02","Polygono equisetiformis-Limoniastretum monopetali","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"23.07","Limonion catalaunico-viciosoi","Rivas-Martínez & Costa 1984"
"23.07.01","Gypsophiletum tomentosae","Br.-Bl. & O. Bolòs 1958"
"23.07.02","Limonietum latebracteati","Br.-Bl. & O. Bolòs 1958 corr. Alonso & De la Torre 1999"
"23.07.03","Limonio viciosoi-Lygeetum sparti","Laorga & Belmonte in Belmonte & Laorga 1987"
"23.08","Lygeo-Lepidion cardamines","Rivas Goday & Rivas-Martínez ex Rivas-Martínez & Costa 1984"
"23.08.01","Frankenio thymifoliae-Limonietum latebracteati","Castroviejo & Porta 1976 corr. Alonso & De la Torre 1999"
"23.08.02","Gypsophilo tomentosae-Limonietum dichotomi","Rivas-Martínez & Izco in Rivas-Martínez & Costa 1976"
"23.08.03","Senecioni castellani-Lygeetum sparti","Rivas Goday & Rivas-Martínez in Rivas-Martínez & Costa 1976 corr. De la Torre, M.A. Alonso & Vicedo 2000"
"23.09","Lygeo sparti-Limonion angustebracteati","Rigual ex Alcaraz, P. Sánchez & De la Torre 1989"
"23.09.01","Artemisio gallicae-Limonietum angustebracteati","Costa & Boira 1981"
"23.09.02","Atriplici portulacoidis-Limonietum caesii","O. Bolòs 1967"
"23.09.03","Limonietum angustebracteato-delicatuli","Rivas-Martínez & Alcaraz in Alcaraz 1984"
"23.09.04","Limonietum caesio-delicatuli","Rigual 1968"
"23.09.05","Limonio caesii-Lygeetum sparti","Rivas-Martínez & Alcaraz in Alcaraz 1984"
"23.09.06","Limonio delicatuli-Gypsophiletum tomentosae","Peinado & Martínez-Parras 1983"
"23.09.07","Limonio insignis-Lygeetum sparti","Alcaraz, P. Sánchez & De la Torre 1989"
"23.09.08","Senecioni majoris-Limonietum furfuracei","Rigual 1968"
"24","Spartinetea maritimae","Tüxen in Beeftink & Géhu 1973"
"24.01","Spartinion maritimae","Conard ex Beeftink & Géhu 1973"
"24.01.01","Spartinetum alterniflorae","Corillion 1953"
"24.01.02","Spartinetum densiflorae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"24.01.03","Spartinetum maritimae","Corillion 1953"
"25","Thero-Suaedetea","Rivas-Martínez 1972"
"25.01","Thero-Suaedion","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
