"Código","Nombre oficial","Autor"
"14.02.08","Eriophoretum scheuchzeri","Br.-Bl. in Nègre 1972"
"14.02.09","Festuco rivularis-Veronicetum turbicolae","Quézel 1953"
"14.02.10","Leontodonto microcephali-Ranunculetum uniflori","Esteve & P. Prieto in P. Prieto 1971"
"14.02.11","Pinguiculo nevadensis-Eleocharitetum quinqueflorae","*"
"14.02.12","Potentillo palustris-Caricetum carpetanae","F. Prieto, M.C. Fernández & Collado 1987"
"14.02.13","Sedo lagascae-Eriophoretum latifolii","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"14.03","Anagallido tenellae-Juncion bulbosi","Br.-Bl. 1967"
"14.03.01","Anagallido tenellae-Juncetum bulbosi","Br.-Bl. 1967"
"14.03.02","Arnicetum atlanticae","Bellot 1968"
"14.03.03","Sibthorpio europeae-Pinguiculetum lusitanicae","Ladero & A. Velasco in A. Velasco 1980"
"14.04","Caricion davallianae","Klika 1934"
"14.04.01","Carici frigidae-Pinguiculetum grandiflorae","Br.-Bl. 1948"
"14.04.02","Pinguiculo vulgaris-Caricetum davallianae","Turmel 1955"
